종목코드,종목명,주소,설립일,대표자,전화번호,홈페이지
114090,GKL,서울시 강남구 삼성로 610 GKL,2005-09-06,윤두현,02-3466-6209,http://www.grandkorea.com
78930,GS,"서울시 강남구 논현로 508, GS타워 23층",2004-07-01,"허태수, 홍순기 (각자 대표이사)",02-2005-1114,http://www.gs.co.kr
6360,GS건설,서울시 종로구 종로33 그랑서울,1969-12-19,"허창수, 허윤홍(각자 대표)",02-2154-1112,http://www.gsenc.com
1250,GS글로벌,"서울시 강남구 논현로 508, GS타워 10층",1954-07-31,이영환,02-2005-5300,http://www.gsgcorp.com
7070,GS리테일,서울시 강남구 논현로 508 GS타워(역삼동 679),1971-02-13,허서홍,02-2005-1114,http://www.gsretail.com
499790,GS피앤엘,"서울특별시 강남구 논현로 508, GS타워",2024-12-02,김원식,02-2006-3803,http://www.gspnl.com
12630,HDC,서울특별시 종로구 경희궁1가길 9 -,1977-10-14,"정몽규, 김회언 (각자 대표)",02-2008-9114,http://www.hdc-holdings.com
39570,HDC랩스,서울특별시 서초구 효령로 346 서초 HDC랩스 타워,1999-09-17,김성은,031-785-1711,http://www.hdc-labs.com
89470,HDC현대EP,충남 당진시 석문면 대호만로 1221-32,2000-01-15,정 원 섭,041-350-0500,http://www.hdc-hyundaiep.com
294870,HDC현대산업개발,서울시 용산구 한강대로23길 55 현대아이파크몰 9층,2018-05-02,"정경구, 조태제(각자 대표)",02-2008-9114,http://www.hdc-dvp.com
9540,HD한국조선해양,"경기도 성남시 분당구 분당수서로 477 정자동, HD현대그룹 글로벌 R&amp;D센터",1973-12-28,"정기선, 김성준 (각자 대표)",,http://www.hdksoe.co.kr
267250,HD현대,경기도 성남시 분당구 분당수서로 477 HD현대 글로벌 R&amp;D센터,2017-04-03,"권오갑, 정기선",,http://www.hdhyundai.co.kr
267270,HD현대건설기계,"경기도 성남시 분당구 분당수서로 477 11층(정자동, HD현대그룹 글로벌 R&amp;D센터)",2017-04-01,최철곤,031-8006-6000,http://www.hd-hyundaice.com
443060,HD현대마린솔루션,경기도 성남시 분당구 분당수서로 477 경기도 성남시 분당구 분당수서로 477,2016-11-28,이기동,02-479-9500,http://www.hd-marinesolution.com
71970,HD현대마린엔진,경상남도 창원시 성산구 적현로 222 STX중공업,2001-06-15,강영,055-280-0700,http://www.stxhi.co.kr
10620,HD현대미포,울산시 동구 방어진순환도로 100 (주)현대미포조선,1975-04-28,김형관,052-250-3114,http://www.hmd.co.kr
322000,HD현대에너지솔루션,"경기도 성남시 분당구 분당수서로 477 9층(정자동, HD현대그룹 글로벌 R&amp;D센터)",2016-12-21,박종환,02-1522-5001,http://www.hd-hyundaies.co.kr
42670,HD현대인프라코어,인천시 동구 인중로 489 (화수동),2000-10-23,"조영철, 오승현",032-211-1114,http://www.hd-infracore.com
267260,HD현대일렉트릭,경기도 성남시 분당구 분당수서로 477 HD현대 글로벌 R&amp;D센터,2017-04-01,김영기,031-210-9200,http://www.hd-hyundaielectric.com
329180,HD현대중공업,울산광역시 동구 방어진순환도로 1000,2019-06-03,"이상균, 노진율 (각자 대표)",052-202-2114,http://www.hhi.co.kr
97230,HJ중공업,부산시 영도구 태종로 233,2007-08-03,"김완석, 유상철",051-410-3114,http://www.hjsc.co.kr
14790,HL D&I,서울시 송파구 올림픽로 289 (신천동),1980-05-02,홍석화,02-3434-5114,http://www.hldni.com
3580,HLB글로벌,강원도 정선군 사북읍 소금강로 3583-1 1층 101호(하이시티1),1962-09-24,김광재,02-6925-4450,http://www.hlbglobal.co.kr
204320,HL만도,경기도 평택시 포승읍 하만호길 32,2014-09-02,"조성현, 김현욱 (각자대표)",031-680-6114,http://www.mando.com
60980,HL홀딩스,경기도 용인시 기흥구 기흥단지로 46,1999-11-27,"김광헌, 김준범",031-280-4640,http://www.halla.com
11200,HMM,"서울특별시 영등포구 여의대로 108 (여의도동, 파크원 타워1)",1976-03-25,최원혁,02-3706-5114,http://www.hmm21.com
35000,HS애드,서울시 마포구 마포대로 155 LG마포빌딩 15층,1984-05-31,박애리,02-705-2173,http://www.hsad.co.kr
2460,HS화성,대구시 수성구 동대구로 111,1958-09-01,"이종원,임기영",053-767-2111,http://www.hwasung.com
487570,HS효성,서울특별시 마포구 마포대로 119 (공덕동),2024-07-01,"조현상, 안성훈",02-707-7000,http://www.hshyosung.com
298050,HS효성첨단소재,서울시 마포구 마포대로 119,2018-06-04,"임진달, 성낙양(각자 대표이사)",02-707-7000,http://www.hshyosungadvancedmaterials.com
3560,아이에이치큐,서울특별시 강서구 강서로 501-8 6층,1962-08-24,오준,02-6005-6000,http://www.ihq.co.kr
175330,JB금융지주,전북 전주시 덕진구 백제대로 566(금암동 669-2),2013-07-01,김기홍,02-2128-2784,http://www.jbfg.com
234080,JW생명과학,충남 당진시 송악읍 한진1길 28,1994-05-21,노정열,041-351-7600,http://www.jw-lifescience.co.kr
1060,JW중외제약,경기도 과천시 과천대로7길 38 -,1945-08-08,대표 신영섭,02-840-6777,http://www.jw-pharma.co.kr
96760,JW홀딩스,경기도 과천시 과천대로7길 38 -,2007-07-03,"이경하, 차성남",02-840-6777,http://www.jw-holdings.co.kr
105560,KB금융,"서울시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",2008-09-29,양종희,02-2073-7114,http://www.kbfg.com
415640,KB발해인프라,"서울특별시 영등포구 국제금융로 10 40층, 41층",2006-01-24,KB자산운용주식회사,02-2167-5689,
432320,KB스타리츠,"서울특별시 영등포구 국제금융로 10 41층(여의도동, 쓰리아이에프씨)",2022-02-08,신명재,02-2163-8403,http://www.kbstarreit.com
2380,케이씨씨,서울시 서초구 사평대로 344,1958-08-12,"정몽진, 정재훈",02-3480-5000,http://www.kccworld.co.kr
344820,케이씨씨글라스,서울특별시 서초구 강남대로 587(잠원동),2020-01-02,"정몽익, 변종오(각자대표)",,http://www.kccglass.co.kr
9070,케이씨티시,서울특별시 중구 남대문로63(소공동)한진빌딩 22층,1973-07-20,류주환,02-310-0700,http://www.kctc.co.kr
9440,KC그린홀딩스,서울시 마포구 상암산로 34 디지털큐브 12층,1973-11-27,이태영,02-320-6114,http://www.kcgreenholdings.com
119650,KC코트렐,서울시 마포구 상암산로 34 디지털큐브 12층,2010-01-06,박기서,02-320-6114,http://www.kc-cottrell.com
92220,KEC,서울시 서초구 마방로 10길 5,2006-09-12,배석홍,02-2025-5000,http://www.keccorp.com
3620,KG모빌리티,경기도 평택시 동삭로 455-12(칠괴동),1962-12-06,"곽재선, 황기영, 박장호(각자대표)",031-610-1114,http://www.kg-mobility.com
16380,KG스틸,"서울특별시 중구 통일로 92 케이지타워 서울 중구 순화동 1-170, 케이지타워, 5층",1982-10-27,박성희,02-3450-8114,http://www.KG-STEEL.CO.KR
1390,KG케미칼,울산시 울주군 온산읍 당월로 322,1954-12-31,"곽정현, 김재익",052-231-1842,http://www.kgchem.co.kr
33180,KH 필룩스,경기도 양주시 광적면 광적로 235-48,1983-12-01,배보성,070-7780-8000,http://www.feelux.com
15590,KIB플러그에너지,울산시 남구 처용로 260-37 (부곡동 125-2),1981-09-30,"김선기, 백승륜",052-278-9000,http://www.kibplugenergy.com
1940,KISCO홀딩스,경남 창원시 성산구 공단로103번길 12,1957-02-19,"장세홍, 이병제",055-260-0500,http://www.kiscoholdings.co.kr
25000,KPX케미칼,서울시 마포구 마포대로 137 KPX빌딩 17층,1974-07-01,"양준영, 박승구, 이찬수(각자대표)",02-2014-4000,http://www.kpxchemical.com
92230,KPX홀딩스,서울시 마포구 마포대로 137  KPX빌딩 19층,2006-09-01,양준영,02-2014-4150,http://www.kpxholdings.com
40,KR모터스,경남 창원시 성산구 완암로 28 (성산동),1917-09-17,노성석,055-282-7011,http://www.krmotors.com
44450,KSS해운,서울시 종로구 인사동길 12 대일빌딩 8층,1984-06-27,박찬도,02-3702-2700,http://www.kssline.com
30200,케이티,경기도 성남시 분당구 불정로 90 (정자동),1981-12-10,김영섭,070-4193-4036,http://www.kt.com
33780,케이티앤지,대전시 대덕구 벚꽃길 71,1987-04-01,방경만,042-939-5000,http://www.ktng.com
58850,KTcs,대전시 서구 갈마로 160 (괴정동),2001-07-02,지정용,042-604-5138,http://www.ktcs.co.kr
58860,KTis,"서울시 영등포구 여의대로 14, KT빌딩 10층",2001-06-27,이선주,02-3215-2054,http://www.ktis.co.kr
93050,LF,서울시 강남구 언주로 870 (신사동),2006-11-03,"오규식, 김상균 (각자 대표이사)",02-3441-8114,http://www.lfcorp.com
3550,LG,서울시 영등포구 여의대로 128  LG트윈타워,1947-01-05,"구광모, 권봉석",02-3773-1114,http://www.lg.co.kr
34220,LG디스플레이,서울시 영등포구 여의대로 128 LG트윈타워 동관 12층,1985-02-27,정철동,02-3777-1010,http://www.lgdisplay.com
51900,LG생활건강,서울시 종로구 새문안로 58,2001-04-03,이정애,02-3774-1114,http://www.lghnh.com:984/
64400,LG씨엔에스,서울특별시 강서구 마곡중앙8로 71,1987-01-14,현신균,02-3773-1114,http://www.lgcns.com
373220,LG에너지솔루션,"서울특별시 영등포구 여의대로 108 타워1 (여의도동, 파크원)",2020-12-01,김동명,02-3777-1114,http://www.lgensol.com
32640,LG유플러스,서울시 용산구 한강대로 32 LG유플러스 용산사옥,1997-07-11,홍범식,02-3773-1114,http://www.lguplus.com
11070,LG이노텍,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,1976-02-24,문혁수,02-3777-1114,http://www.lginnotek.com
66570,LG전자,서울시 영등포구 여의대로 128 LG트윈타워,2002-04-01,조주완,02-3777-3432,http://www.lge.co.kr
37560,LG헬로비전,"서울시 마포구 월드컵북로56길 19, 6층(상암동, 드림타워)",1995-03-31,송구영,02-1855-1000,http://www.cjhello.com
51910,LG화학,"서울시 영등포구 여의대로 128, LG트윈타워빌딩",2001-04-01,신학철,02-3777-1114,http://www.lgchem.com
79550,LIG넥스원,경기도 용인시 기흥구 마북로 207,1998-02-25,신익현,,http://www.lignex1.com
6260,LS,서울시 용산구 한강대로 92 LS용산타워,1969-10-25,명노현,02-2189-9754,http://www.lsholdings.com
10120,엘에스일렉트릭,경기도 안양시 동안구 엘에스로 127 LS타워,1974-07-24,"구자균, 채대석",02-2034-4237,http://www.ls-electric.com
680,LS네트웍스,"경남 김해시 호계로 428 1층 (부원동, LS네트웍스빌딩)",1949-12-21,문성준,02-799-7114,http://www.lsnetworks.co.kr
229640,LS에코에너지,"강원특별자치도 동해시 대동로 215 (송정동, 1686)",2015-05-15,이상호,02-2189-8974,http://www.lsecoenergy.com
108320,LX세미콘,대전시 유성구 테크노2로 222(탑립동),1999-11-11,이윤태,042-712-7700,http://www.lxsemicon.com
1120,LX인터내셔널,서울특별시 종로구 새문안로 58 LG광화문빌딩,1953-11-26,윤춘성,02-6924-3114,http://www.lxinternational.co.kr
108670,LX하우시스,서울특별시 중구 후암로 98 LG서울역빌딩,2009-04-02,"노진서, 한주우",02-3777-1114,http://www.lghausys.co.kr
383800,LX홀딩스,서울특별시 종로구 새문안로 58 LG광화문빌딩,2021-05-03,"구본준, 노진서",02-3773-0452,http://www.lxholdings.co.kr
23150,MH에탄올,경남 창원시 마산회원구 내서읍 광려천남로 25,1978-07-04,"최동호, 김일환",055-231-0701,http://www.mhethanol.com
35420,NAVER,경기도 성남시 분당구 정자일로 95 1784,1999-06-02,최수연,,http://www.navercorp.com
181710,엔에이치엔,경기도 성남시 분당구 대왕판교로 645번길 16 플레이뮤지엄(삼평동),2013-08-01,정우진,,http://www.nhn.com
400760,NH올원리츠,"서울특별시 영등포구 국제금융로8길 2, 5층(여의도동, 농협재단빌딩)",2019-11-20,소선호,02-6264-2840,http://www.nhreits.com
5940,NH투자증권,서울특별시 영등포구 여의대로 108 파크원NH금융타워(타워2),1969-01-14,윤병운,02-768-7000,http://www.nhqv.com
338100,NH프라임리츠,"서울특별시 영등포구 국제금융로8길 2 5층(여의도동, 농협재단빌딩)",2019-05-30,소선호,02-6264-2836,http://www.nhreits.com
34310,NICE,서울시 영등포구 은행로17 (여의도동),1986-09-11,이현석,02-2122-4000,http://www.nice.co.kr
30190,NICE평가정보,서울시 영등포구 은행로 17 (여의도동),1985-02-28,김종윤,02-2122-4000,http://www.niceinfo.co.kr
8260,NI스틸,서울시 동작구 동작대로35 화민빌딩,1972-12-14,이창환,02-758-6789,http://ni.hcrst.com
4250,엔피씨,경기도 용인시 수지구 신수로 785-17 엔피씨(주),1965-05-29,"나창엽,양창영,심일식(각자 대표)",031-362-2851,http://www.npc.co.kr
456040,OCI,"서울특별시 중구 소공로 94 (소공동, OCI주식회사)",2023-05-02,"김유신, 김원현(2인, 각자 대표)",02-727-9500,http://www.oci.co.kr
10060,OCI홀딩스,서울시 중구 소공로 94 OCI빌딩,1974-07-01,"이우현, 김택중, 이수미(3인, 각자 대표)",02-727-9500,http://www.oci-holdings.com
178920,PI첨단소재,충북 진천군 이월면 고등1길 27,2008-06-02,송금수,031-436-8600,http://www.skckolonpi.com
5490,POSCO홀딩스,경상북도 포항시 남구 동해안로 6261 -,1968-03-25,"대표 회장 장인화,",054-220-0114,http://www.posco-inc.com
10950,S-Oil,서울시 마포구 백범로 192 (공덕동 471번지),1976-01-06,Hussain A.Al-Qahtani,02-3772-5151,http://www.s-oil.com
34120,SBS,서울시 양천구 목동서로 161,1990-11-14,방문신,02-2061-0006,http://www.sbs.co.kr
5090,SGC에너지,"서울시 서초구 양재대로 246 (염곡동, 송암빌딩 12층)",1967-07-01,"이우성, 박준영, 이복영",02-489-8000,http://www.sgcenergy.co.kr
1380,SG글로벌,충청남도 예산군 예산읍 창말로 75 (주)SG글로벌,1954-12-22,이의범,070-5038-6334,http://www.sgglobal.co.kr
4060,SG세계물산,"서울특별시 금천구 벚꽃로 278 6층(가산동,에스제이테크노빌)",1964-11-20,이의범,02-850-5191,http://www.sgsegye.com
1770,SHD,"경기도 안산시 단원구 번영2로 31 (성곡동, 시화공단4다706)",1956-06-01,신종호,031-499-9922,http://www.shinhwatp.co.kr
2360,SH에너지화학,전북 군산시 외항7길 20 (소룡동),1958-05-09,정케빈규봉,063-469-1500,http://www.sh-enerchem.com
9160,SIMPAC,인천시 부평구 부평북로 141,1973-08-09,최진식,032-510-0044,http://www.simpac.co.kr
33530,SJG세종,울산시 북구 효자로 82 (효문동),1976-06-10,"최정연, 이동원 (각자 대표)",052-219-1699,http://www.sjku.co.kr
123700,에스제이엠,경기도 안산시 단원구 별망로 459번길 20 (목내동),2010-05-04,김휘중,031-491-4151,http://www.sjmflex.co.kr
25530,에스제이엠홀딩스,경기도 안산시 단원구 별망로459번길 20 (목내동),1975-03-31,"김용호, 김휘중",031-490-3859,http://www.sjmholdings.co.kr
34730,SK,서울시 종로구 종로 26 SK빌딩,1991-04-13,"최태원, 장용호",02-2121-5114,http://www.sk.co.kr
11790,SKC,경기도 수원시 장안구 정자로 102 SKC첨단기술중앙연구소 (정자동 911-10),1973-07-16,박원철,02-3787-1234,http://www.skc.kr
18670,SK가스,경기도 성남시 분당구 판교로332 ECO Hub,1985-12-20,윤병석,02-6200-8114,http://www.skgas.co.kr
1740,SK네트웍스,경기도 수원시 장안구 경수대로976번길 19 -,1956-03-24,이호정,070-7800-2114,http://www.sknetworks.co.kr
6120,SK디스커버리,경기도 성남시 분당구 판교로 332,1969-07-01,"최창원, 손현호",02-2008-2008,http://www.skdiscovery.com
210980,SK디앤디,경기도 성남시 분당구 판교로 332 (삼평동) ECO Hub,2004-04-27,김도현,02-398-4700,http://www.skdnd.com
395400,SK리츠,"서울특별시 중구 세종대로 136, 15층",2021-03-15,에스케이리츠운용(주),02-6353-7000,http://www.skreit.co.kr
302440,SK바이오사이언스,경기도 성남시 분당구 판교로 310,2018-07-01,안재용,02-2008-2200,http://www.skbioscience.co.kr
326030,에스케이바이오팜,경기도 성남시 분당구 판교역로 221 (삼평동),2011-04-01,이동훈,031-8093-0114,http://www.skbp.com
402340,SK스퀘어,서울특별시 중구 을지로 65 SK텔레콤빌딩,2021-11-01,한명진,02-6100-3114,http://www.sksquare.com
361610,SK아이이테크놀로지,"서울특별시 종로구 종로 26 (서린동, SK서린동빌딩)",2019-04-01,이상민,02-2121-5114,http://www.skietechnology.com
100090,SK오션플랜트,경남 고성군 동해면 내산3길 51-1,1996-11-01,이승철,055-673-7014,http://www.skoceanplant.com
96770,SK이노베이션,서울시 종로구 종로26 (서린동 SK빌딩),2007-07-03,박상규,02-2121-5114,http://www.skinnovations.co.kr
475150,SK이터닉스,경기도 성남시 분당구 판교로 332,2024-03-04,김해중,031-606-1300,http://www.sketernix.com
1510,SK증권,서울시 영등포구 국제금융로8길 31 SK증권빌딩(여의도동),1955-07-30,"전우종, 정준호",02-3773-8245,http://www.sks.co.kr
285130,SK케미칼,경기도 성남시 분당구 판교로 310 (삼평동),2017-12-01,"김철, 안재현",02-2008-2008,http://www.skchemicals.com
17670,SK텔레콤,서울시 중구 을지로 65 SK T타워,1984-04-20,유영상,02-6100-2114,http://www.sktelecom.com
660,SK하이닉스,경기도 이천시 부발읍 경충대로 2091,1949-10-15,곽노정,031-630-4114,http://www.skhynix.com
3570,SNT다이내믹스,경남 창원시 성산구 남면로 599 (외동),1959-04-01,박재석,055-280-5000,http://www.hisntd.com
64960,SNT모티브,부산시 기장군 철마면 여락송정로 363,2002-02-06,권형순,051-509-2114,http://www.sntmotiv.com
100840,SNT에너지,경남 창원시 성산구 완암로 12,2008-02-05,김형섭,055-212-6500,http://www.hisnt.com
36530,SNT홀딩스,서울특별시 강남구 테헤란로 124 11층(역삼동),1982-09-27,김도환,02-3279-5010,http://www.hisntholdings.com
5610,SPC삼립,경기도 시흥시 공단1대로 101,1968-06-28,"황종현, 김범수(각자 대표)",02-2276-5061,http://www.spcsamlip.co.kr
11810,STX,경남 창원시 성산구 중앙대로 105,1976-12-24,박상준,02-316-9600,http://www.stx.co.kr
465770,STX그린로지스,부산광역시 중구 중앙대로 102,2023-09-01,유재호,051-461-2000,http://www.stxgreenlogis.co.kr
77970,STX엔진,경남 창원시 성산구 공단로474번길 36,2004-04-01,이상수,055-280-0114,http://www.stxengine.co.kr
2820,SUN&L,인천시 중구 월미로 96 (북성동 1가),1959-10-17,이윤규,032-770-3000,http://www.sunwood.co.kr
84870,티비에이치글로벌,서울특별시 송파구 중대로 168 신한빌딩(가락동),2001-01-01,우종완,02-2058-3800,http://www.tbhglobal.co.kr
2710,TCC스틸,경북 포항시 남구 괴동로 100 (장흥동),1959-07-16,"손봉락, 손기영, 김영학 (각자대표)",054-285-3311,http://www.tccsteel.com
69260,티케이지휴켐스,"서울시 중구 퇴계로 173, 19층",2002-09-17,김우찬,02-2262-0600,http://tkg.huchems.com
7980,TP,서울시 구로구 디지털로31길 12 (구로동),1972-06-30,임석원,02-850-9000,http://www.panpacific.co.kr
2900,TYM,서울특별시 용산구 장문로 52 동빙고동,1960-02-01,"김희용, 김도훈",02-3014-2800,http://www.tym.co.kr
24070,WISCOM,경기도 안산시 단원구 강촌로 237 (목내동),1978-05-09,"구조웅, 구영일",031-495-1181,http://www.wiscom.co.kr
37270,YG PLUS,"서울특별시 영등포구 국제금융로 10 19층, (여의도동, 쓰리아이에프씨)",1996-11-15,최성준,02-3140-4600,http://www.ygplus.com
500,가온전선,경기도 군포시 엘에스로45번길 120,1947-09-24,정 현,031-8068-3917,http://www.gaoncable.com
860,강남제비스코,"부산광역시 부산진구 중앙대로 639 18층(범천동, 엠디엠타워)",1952-07-16,"황익준, 김재현",051-892-4221,http://www.jevisco.com
35250,강원랜드,강원도 정선군 사북읍 하이원길 265,1998-06-29,최철규,033-590-7700,http://kangwonland.high1.com
11420,갤럭시아에스엠,서울시 강남구 학동로 311 미성빌딩 7층,1975-05-06,이반석,02-775-1300,http://www.galaxiasme.com
2100,경농,서울특별시 서초구 효령로 77길 28 동오빌딩,1957-07-12,"이병만,이용진",02-3488-5800,http://www.knco.co.kr
9450,경동나비엔,경기도 평택시 서탄면 수월암길 95,1978-11-03,"손연호, 손흥락, 장희철",031-659-1144,http://www.kdnavien.co.kr
267290,경동도시가스,울산시 북구 염포로 260-10,2017-04-01,"송재호, 나윤호",052-219-5300,http://www.kdgas.co.kr
12320,경동인베스트,경기도 성남시 분당구 수내로46번길 4 경동빌딩,1977-06-15,정승진,052-219-5300,http://www.kdinvest.co.kr
50,경방,서울시 영등포구 영중로 15 (영등포동4가),1919-10-05,"김준, 김담",02-2638-6000,http://www.kyungbang.co.kr
214390,경보제약,충남 아산시 실옥로 174 (실옥동),1987-03-31,김태영,02-2175-2315,http://www.kbpharma.co.kr
12610,경인양행,인천시 서구 건지로 199 (석남동 223-52),1977-10-14,"김흥준, 조성용",032-571-7498,http://www.kisco.co/ko/
9140,경인전자,"서울시 금천구 가산디지털 2로 184 1411호(가산동, 벽산/경인디지털밸리 2차)",1973-08-06,김성은,02-2113-2000,http://www.kie.co.kr
13580,계룡건설산업,대전광역시 서구 문정로 48번길 48(탄방동) 계룡건설빌딩,1978-10-11,"오태식, 윤길호",042-480-7114,http://www.krcon.co.kr
12200,계양전기,서울시 강남구 테헤란로 508 해성2빌딩 2층(대치동),1977-04-27,임영환,02-559-6800,http://www.keyang.co.kr
2140,고려산업,부산광역시 중구 중앙대로 22 (중앙동6가),1957-07-24,"전장열, 김영교",051-600-5000,http://www.hafeed.com
10130,고려아연,서울특별시 종로구 종로33 (청진동) -,1974-08-01,"박기덕, 정태웅",02-519-3416,http://www.koreazinc.co.kr
2240,고려제강,부산광역시 수영구 구락로 141번길 37(망미동),1945-09-21,주종대,051-760-1700,http://www.kiswire.com
9290,광동제약,경기도 과천시 과천대로7다길 52 광동 과천 타워,1963-10-16,최성원,02-6006-7777,http://www.ekdp.com
17040,광명전기,경기도 안산시 단원구 목내로 160(목내동),1955-07-01,이재광,031-494-0720,http://www.kmec.co.kr
17900,광전자,전북 익산시 약촌로8길 62-8 (어양동),1984-07-31,최재완,063-839-1111,http://www.auk.co.kr
37710,광주신세계,광주시 서구 무진대로 932 (광천동),1995-04-10,이동훈,062-360-1234,http://www.gjshinsegae.co.kr
30610,교보증권,서울시 영등포구 여의도동 의사당대로 97 (여의도동 26-4)교보증권빌딩,1949-11-22,"박봉권, 이석기 (각자대표)",02-3771-9000,http://www.iprovest.com
339770,교촌에프앤비,경상북도 칠곡군 가산면 송신로 78 교촌에프앤비(주),1999-11-12,송종화,054-971-9995,http://www.kyochonfnb.com
7690,국도화학,서울시 금천구 가산디지털 2로 61 (가산동),1972-02-22,"이시창, 황문성",02-3282-1542,http://www.kukdo.com
1140,국보,"부산광역시 수영구 광남로 42 8층(남천동, 국보빌딩)",1953-12-28,"박찬하, 김룡영(각자 대표)",02-765-5544,http://www.kukbo.com
2720,국제약품,경기도 성남시 분당구 야탑로 96-8,1959-07-27,"남영우, 남태훈",031-781-9081,http://www.kukjepharm.co.kr
83420,그린케미칼,충남 서산시 대산읍 독곶2로 103,2003-01-01,양준화,041-661-5000,http://www.korgc.com
14530,극동유화,경남 양산시 어실로 101,1979-12-28,"장홍선, 장선우",055-370-9900,http://www.kdoc.co.kr
14280,금강공업,부산시 사하구 다산로 110 (다대동),1979-08-08,"전장열, 전재범 (각자 대표)",051-264-8881,http://www.kumkangkind.com
8870,금비,경기도 이천시 부발읍 중부대로1707번길 13,1973-06-05,고기영,031-632-5280,http://www.kumbi.co.kr
1570,금양,부산광역시 사상구 낙동대로960번길 77 (감전동),1955-11-17,류광지,051-316-5881,http://www.kyc.co.kr
2990,금호건설,전남 나주시 시청길4,1960-09-05,조완석,061-333-7612,http://www.kumhoenc.com
