종목명,종목코드,짧은 요약
아이에이치큐,3560,"아이에이치큐는 연예 매니지먼트와 드라마·예능 제작, 유료방송 등 미디어 관련 종합 콘텐츠 사업을 하고 있어. 코미디TV 등 자체 채널도 운영하며, OTT 수요 증가에 맞춰 콘텐츠 제작과 공급을 확대하면서 엔터 산업 내 입지를 넓혀가고 있어."
JB금융지주,175330,"JB금융지주는 전북은행, 광주은행 등을 중심으로 JB캐피탈, JB자산운용 등 다양한 금융 계열사를 거느린 지주회사야. 최근엔 한패스 같은 핀테크 기업과의 협업을 통해 디지털 금융 상품을 강화하고 있어."
JW생명과학,234080,"JW생명과학은 병원에서 사용하는 수액을 전문으로 생산하는 제약회사야. 아시아 최초로 영양수액 설비로 유럽 인증을 받았고, 미국 기업과 수출 계약도 체결하며 글로벌 시장을 확대 중이야. 고부가 수액 제품 개발에도 주력하고 있어."
JW중외제약,1060,"JW중외제약은 1945년 설립된 제약사로, 오리지널 신약과 수액 제품을 중심으로 의약품 연구, 생산, 판매를 해. 글로벌 네트워크와 첨단 생산시설을 통해 신약 개발 경쟁력을 확보하며 해외시장에도 진출하고 있어."
JW홀딩스,96760,"JW홀딩스는 JW그룹의 지주회사로, 자회사들이 개발한 의약품, 의료기기, 원료 등을 해외에 수출하고, 브랜드 사용료와 지분 수익으로 이익을 창출하고 있어. 그룹 전반의 전략 수립과 계열사 관리에 집중하고 있어."
KB금융,105560,"KB금융은 국민은행을 중심으로 보험, 증권 등 11개 계열사가 있는 종합금융그룹이야. 디지털 플랫폼 ‘스타뱅킹’을 운영하며 약 1,300만 명의 이용자를 보유하고 있고, 금융 외 비즈니스로 확장 중이야."
KB발해인프라,415640,
KB스타리츠,432320,
케이씨씨,2380,"케이씨씨는 건축자재, 도료, 실리콘, 첨단소재를 제조하는 종합화학 기업이야. 건설 현장에서 쓰이는 자재뿐 아니라 고기능성 소재도 개발하고 있으며, 기술 개발과 글로벌 사업 확장을 통해 경쟁력을 강화하고 있어."
케이씨씨글라스,344820,"케이씨씨글라스는 케이씨씨에서 유리 및 인테리어 사업부문이 분리되어 만들어졌어. 건축용 유리, 자동차용 안전유리, 바닥재, 콘크리트 파일 등을 생산하고, 해외 시장 진출을 위해 인도네시아에 생산기지를 세우는 등 글로벌 사업에 힘쓰고 있어."
케이씨티시,9070,"케이씨티시는 항만하역, 컨테이너 운송, 보관 등의 물류서비스를 제공하는 회사로, 전국 주요 항만에 물류 인프라를 갖추고 있어. 최근엔 스마트물류센터와 해상풍력 관련 사업으로 영역을 넓히고 있어."
KC그린홀딩스,9440,"KC그린홀딩스는 환경 관련 사업을 총괄하는 지주회사로, 폐기물 처리, 자원순환, 에너지 사업 등을 하는 자회사를 운영하고 있어. 사업 포트폴리오를 다각화하면서 친환경 중심의 기업 성장을 꾀하고 있어."
KC코트렐,119650,"KC코트렐은 발전소나 제철소에서 발생하는 오염물질을 처리하는 환경설비를 만드는 회사야. 대기환경 개선을 위한 다양한 기술과 설비를 공급하고, 터널, CCUS 분야 등으로 사업을 확대하고 있어."
KEC,92220,"KEC는 전력 반도체를 생산하는 회사로, 가전제품과 자동차 등에 들어가는 반도체 부품을 자체 생산해. 국내 중견 반도체 업체 중에서는 보기 드물게 생산시설을 직접 보유하고 있고, 해외 영업망도 활발히 운영 중이야."
KG모빌리티,3620,"KG모빌리티는 예전 쌍용자동차로, SUV 전문 완성차 업체야. 토레스, 렉스턴 같은 차량을 생산하고 있고, 향후에는 전기 픽업트럭이나 하이브리드 모델도 출시할 계획이야. 친환경차 라인업을 확대하려 하고 있어."
KG스틸,16380,"KG스틸은 철강재, 특히 냉연강판과 표면처리강판을 생산하는 철강 전문기업이야. 항만, 임대 등 기타 사업도 하며, 스마트공장을 도입해 공정 효율화와 경쟁력 강화를 추진하고 있어."
KG케미칼,1390,"KG케미칼은 화학, 바이오, 금융, 전자결제 등 11개 사업부문을 영위하는 종합기업이야. 유기질 비료나 하수처리제 같은 친환경 제품도 생산하고, 기술 혁신과 다각화를 통해 지속 가능한 성장을 추구하고 있어."
KH 필룩스,33180,"KH필룩스는 조명, 소재, 바이오, 리조트 등 여러 산업에 걸친 사업을 운영해. 페라이트 코어, LED조명부터 대장암 백신, 리조트 운영까지 다양한 사업을 통해 수익을 창출하고 있어."
KIB플러그에너지,15590,"KIB플러그에너지는 화학플랜트에 들어가는 열교환기, 저장탱크 등을 만드는 화공기기 전문회사야. 해외시장에도 입지를 다졌고, 다양한 특수기기를 자체 개발하고 있어."
KISCO홀딩스,1940,"KISCO홀딩스는 철강, 임대, 섬유 등 다양한 사업을 하는 자회사를 관리하는 지주회사야. 경영 효율성과 책임경영 강화를 통해 각 자회사의 독립성과 성과 중심 문화를 만들고 있어."
KPX케미칼,25000,"KPX케미칼은 폴리프로필렌글리콜(PPG)을 주력으로 생산하는 화학기업이야. 이 물질은 자동차 시트, 단열재 등에 쓰이고, 전자재료 부문에서도 다양한 제품을 생산하고 있어. 해외 법인도 활발히 운영 중이야."
KPX홀딩스,92230,"KPX홀딩스는 KPX케미칼 등을 소유한 지주회사로, 투자와 경영지도 역할을 하고 있어. 자회사 경영 효율성을 높이고, 지배구조 투명성을 강화하려는 방향으로 운영되고 있어."
KR모터스,40,"KR모터스는 오토바이 전문 제조업체로, 국내 최초로 전기이륜차를 상용화한 경험이 있어. 50cc부터 700cc까지 다양한 모델을 생산하며, 내수 시장 점유율도 높아."
KSS해운,44450,"KSS해운은 액화가스와 석유화학제품을 전문적으로 운송하는 해운회사야. 가스선, 케미컬선을 운항하고 있으며, 자본집약적 산업에서 규모의 경제를 실현해 효율성과 경쟁력을 유지하고 있어."
케이티,30200,"KT는 유무선 통신을 기반으로 AI, 클라우드, 빅데이터 같은 ICT 기술을 접목한 사업을 하고 있어. 디지털전환과 플랫폼 중심의 구조개편으로 미래 기술 기업으로 진화하고 있어."
케이티앤지,33780,"KT&G는 담배와 홍삼 제품을 주로 만드는 회사야. 궐련뿐 아니라 HNB 같은 차세대 담배도 만들고, 홍삼은 건강기능식품으로 국내외에서 판매하고 있어. 해외 담배시장을 빠르게 확대하고 있어."
KTcs,58850,"KTcs는 고객센터 운영 전문회사로, 공공기관, 병원, 지자체 등과 협업해 컨택센터 서비스를 제공해. 자체 AI 솔루션을 개발하고, AI 인재를 육성해 디지털 전환을 추진하고 있어."
KTis,58860,"KTis는 KT의 컨택센터, 114번호안내, 유통사업 등을 운영해. AI 기술 고도화와 솔루션 상품을 확대해 인공지능 기반 상담 서비스를 강화하고 있어."
LF,93050,"LF는 닥스, 헤지스, 질스튜어트 같은 브랜드를 가진 패션회사야. 패션 외에도 식품, 금융, 기타 사업도 하며, 친환경 소재 확대와 탄소 저감 전략을 추진하고 있어."
LG,3550,"LG는 LG전자, LG화학 등 다양한 자회사를 관리하는 순수 지주회사야. 브랜드 사용료, 자회사 배당금, 임대수익 등을 통해 수익을 올리며, 각 계열사 전략 방향을 총괄해."
LG디스플레이,34220,"LG디스플레이는 OLED, LCD 같은 디스플레이를 만드는 회사야. TV, 스마트폰, 자동차용 디스플레이를 공급하고 있으며, 기술력과 생산 능력에서 세계적 수준이야."
LG생활건강,51900,"LG생활건강은 화장품, 생활용품, 음료 등 소비재 제품을 제조·판매해. ‘후’, ‘숨37˚’ 같은 뷰티 브랜드와 ‘코카콜라’ 음료 브랜드로 유명하며, 국내외 시장에서 안정된 입지를 갖고 있어."
LG씨엔에스,64400,"LG CNS는 기업 IT서비스, 클라우드, AI, 스마트엔지니어링 사업을 하는 회사야. 대기업과 공공기관을 대상으로 시스템 구축하고 디지털 전환을 지원해. 글로벌 클라우드 기업들과도 협력 중이야."
LG에너지솔루션,373220,"LG에너지솔루션은 전기차 배터리와 에너지저장장치를 생산하는 세계적인 2차전지 회사야. 재사용, 재활용, 배터리서비스 등 새로운 배터리 관련 사업도 확대하고 있어."
LG유플러스,32640,"LG유플러스는 이동통신, 스마트홈, 기업 솔루션을 제공하는 통신회사야. 5G 네트워크 기반의 새로운 플랫폼 사업을 추진하며 디지털 혁신 기업으로 변화하고 있어."
LG이노텍,11070,"LG이노텍은 스마트폰 카메라 모듈, 기판, 자동차 전장부품 등을 만드는 전자부품 회사야. 제조공정의 자동화와 기술 차별화를 통해 글로벌 시장을 공략하고 있어."
LG전자,66570,"LG전자는 냉장고, 세탁기, TV 등 가전제품을 만드는 글로벌 전자기업이야. H&A사업부가 핵심이며, 탄소중립과 친환경 전략을 통해 지속가능경영을 추진하고 있어."
LG헬로비전,37560,"LG헬로비전은 전국 케이블TV와 초고속인터넷, 인터넷전화를 제공하는 방송통신 기업이야. 지역 콘텐츠를 강화하고 가전 렌탈 서비스도 함께 운영하고 있어."
LG화학,51910,"LG화학은 석유화학, 첨단소재, 생명과학 사업을 하는 화학회사로, LG에너지솔루션을 분사해 배터리사업도 독립 운영하고 있어. 친환경 플라스틱, 바이오소재 등 지속가능 제품도 강화하고 있어."
LIG넥스원,79550,"LIG넥스원은 국내 대표 방산 전문기업으로, 방위사업청과 국방과학연구소와 긴밀히 협력하여 정밀유도무기, 감시정찰 장비, 통신체계, 항공전자, 전자전 무기 등을 개발 및 생산하고 있어. 특히 무인화 시스템, 드론, 로봇, 인공지능, 사이버전 등 4차 산업혁명과 연결된 미래형 국방기술 확보에 집중하고 있으며, 민간기술과 군사기술의 융합을 통해 스핀온·스핀오프 방식으로 사업 확장을 시도 중이야."
LS,6260,"LS는 LS그룹의 지주회사로서 전선, 전기, 전력, 자동화, IT 등 다양한 산업에 진출한 자회사들을 총괄 관리하고 있어. 주요 수익은 자회사로부터 받는 배당금과 상표권 사용료에서 발생하며, LS브랜드의 가치를 제고하고 보호하는 역할도 수행하고 있어. 그룹 전반의 전략 방향 설정과 자원 배분을 통해 경영 효율성을 높이고 있어."
엘에스일렉트릭,10120,"엘에스일렉트릭은 전력기기, 자동화 시스템, 그린에너지 솔루션 등을 제공하는 회사로, 전기설비 분야에서 독보적인 기술력을 보유하고 있어. 국내 청주, 천안, 부산에 생산기지를 갖추고 있으며, 스마트공장 구축, 에너지 관리 시스템 등 고도화된 인프라를 통해 신재생에너지 시장에도 적극 대응하고 있어. 안정적인 기술지원과 사후관리 체계도 장점으로 꼽혀."
LS네트웍스,680,"LS네트웍스는 의류·신발 브랜드인 PRO-SPECS를 중심으로 한 브랜드 사업, 토요타·렉서스·BMW 등 차량 유통사업, LS용산타워 등 부동산 임대사업을 주축으로 하고 있어. 2024년에는 LS증권 지분을 인수해 금융업 진출을 선언하며 포트폴리오를 확장하고 있어. 소비재와 금융을 아우르는 복합 기업으로 진화 중이야."
LS에코에너지,229640,"LS에코에너지는 베트남과 미얀마에 전력·통신 케이블 제조 자회사를 두고 있는 전선 제조사로, 베트남에서는 시장 점유율 1위를 기록하고 있어. 초고압, 중압, 저압 전력선, 가공선, 구리·알루미늄 로드 등을 생산하며 아시아 시장 중심으로 공급망을 확대하고 있어. 해외 생산 경쟁력을 바탕으로 글로벌 시장 공략에 집중하고 있어."
LX세미콘,108320,"LX세미콘은 시스템반도체 설계 전문 회사로, 디스플레이 구동에 필요한 Driver-IC, T-Con, PMIC 등을 설계하고 있어. 최근에는 전력반도체, MCU, 방열기판 등 다양한 분야로 제품군을 확대하며 고객 다변화 전략을 추진하고 있어. 맞춤형 고부가가치 제품 개발을 통해 국내외 고객과의 관계를 강화하고 있어."
LX인터내셔널,1120,"LX인터내셔널은 종합상사로, 자원개발(광물, 팜), 트레이딩(소재, 부품), 물류(포워딩, 3PL 등) 세 부문으로 사업을 운영하고 있어. 니켈 등 광물자산 확보, 친환경 발전 프로젝트 참여, 인프라 개발 등을 통해 미래 신성장 동력을 확보하고 있으며, 무역 부문에서는 글로벌 파트너십 기반의 안정적인 수익구조를 유지하고 있어."
LX하우시스,108670,"LX하우시스는 건축자재 및 자동차 내장재 전문 제조기업으로, 창호, 바닥재, 벽지, 단열재 등 인테리어 자재와 자동차용 원단, 부품을 생산해. 국내외 생산기지를 바탕으로 글로벌 시장에 제품을 공급하고 있으며, 친환경 소재 및 공정 기술을 개발해 환경 영향을 줄이는 데 주력하고 있어. 지속가능한 건축과 모빌리티 솔루션을 함께 제공하고 있어."
LX홀딩스,383800,"LX홀딩스는 LX그룹의 순수지주회사로서, LX인터내셔널, LX세미콘, LX하우시스, LX MMA 등의 자회사를 소유하며 사업전략 수립과 자산관리를 수행하고 있어. 브랜드 사용료와 배당금이 주요 수입원이며, 전문화된 경영관리 체계를 통해 각 자회사의 성장을 뒷받침하고 있어. 사업구조 고도화를 통해 그룹의 미래 성장 기반을 다지고 있어."
